Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real
5;FONDO DE REEQUILIBRIO TERRITORIAL;1;203;34201;63200;2023/003071;2023/003071;ESPACIOS DEPORTIVOS EN EL DISTRITO DE RETIRO. ACTUALIZACIÓN Y MEJORA (ID 21: 18374);203;RETIRO;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;2;PISTAS DEPORTIVAS ELEMENTALES;;;;;18;PRESUPUESTOS PARTICIPATIVOS;300000;0;300000;300000;0;0;0;0;0;0
;;1;203;34201;63999;2024/000112;2024/000112;CENTRO DEPORTIVO MUNICIPAL DAOIZ Y VELARDE. MATERIAL DEPORTIVO ESTÁTICO;203;RETIRO;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;;;;;;;9828;0;9828;9828;0;0;0;0;0;0
;;1;203;34201;63999;2024/000114;2024/000114;CENTRO DEPORTIVO MUNICIPAL LA CHOPERA. MATERIAL DEPORTIVO ESTÁTICO;203;RETIRO;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;;;;;;;14168;0;14168;14168;0;0;0;0;0;0
;;1;203;92001;62600;2024/001160;2024/001160;SALÓN DE PLENOS DEL DISTRITO DE RETIRO. EQUIPOS DE SONIDO Y COMUNICACIÓN;203;RETIRO;0;INVERSIONES DE CARÁCTER GENERAL;2;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;;;;;;;0;1400;1400;1400;0;0;0;0;0;0
;;1;203;92001;62601;2024/001160;2024/001160;SALÓN DE PLENOS DEL DISTRITO DE RETIRO. EQUIPOS DE SONIDO Y COMUNICACIÓN;203;RETIRO;0;INVERSIONES DE CARÁCTER GENERAL;2;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;;;;;;;0;285;285;285;0;0;0;0;0;0
;;1;203;92001;63599;2024/001160;2024/001160;SALÓN DE PLENOS DEL DISTRITO DE RETIRO. EQUIPOS DE SONIDO Y COMUNICACIÓN;203;RETIRO;0;INVERSIONES DE CARÁCTER GENERAL;2;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;;;;;;;0;2125;2125;2125;0;0;0;0;0;0
;;1;203;93302;63200;2022/000574;2022/030574;CENTRO CULTURAL CASA DE VACAS. MEJORA CLIMATIZACIÓN, SOLADO EXTERIOR, ILUMINACIÓN LED Y OTRAS;203;RETIRO;10;CULTURA;3;CENTROS CULTURALES;;;;;;;0;53115,02;53115,02;0;0;53115,02;53115,02;255,66;0;255,66
;;1;203;93302;63200;2024/000201;2024/000201;OBRAS DE MEJORA EN EDIFICIOS DEL DISTRITO DE RETIRO;203;RETIRO;0;INVERSIONES DE CARÁCTER GENERAL;3;EDIFICIOS PARA EL USO GENERAL;;;;;;;114700;-53115,02;61584,98;61584,98;0;0;0;0;0;0
;;1;203;93302;63200;2024/000394;2024/000394;CENTRO DE MAYORES PÉREZ GALDÓS. ACTUACIÓN EN CUBIERTA Y OTRAS OBRAS DE ACONDICIONAMIENTO;203;RETIRO;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1;CENTROS DE MAYORES;;;;;;;160000;0;160000;160000;0;0;0;0;0;0
5;FONDO DE REEQUILIBRIO TERRITORIAL;1;204;15322;61904;2019/009205;2019/009205;"VÍAS PÚBLICAS Bº FUENTE DEL BERRO.PRIORIDAD PEATONAL Y MEJORA ACCESIBILIDAD GLOBAL(ID 18: 9917;8672)";204;SALAMANCA;6;URBANISMO;1;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;;;17;FONDO REEQUILIBRIO TERRITORIAL;18;PRESUPUESTOS PARTICIPATIVOS;601464;0;601464;595957,7;0;5506,3;5506,3;0;0;0
